carrier,flights,delayed_15min,mean_delay_minutes,median_delay_minutes,delay_rate_15min
G4,9226,2175,21.693,0.0,0.235747
F9,15134,3511,19.69,0.0,0.231994
OH,19195,4439,22.039,0.0,0.231258
B6,17595,3941,15.407,0.0,0.223984
DL,74169,14524,16.436,0.0,0.195823
AA,72286,13567,16.163,0.0,0.187685
OO,63693,11910,17.587,0.0,0.186991
NK,16972,3084,11.552,0.0,0.181711
WN,102291,17875,9.906,0.0,0.174747
AS,17920,2993,9.878,0.0,0.16702
UA,60818,10110,11.899,0.0,0.166234
MQ,20860,3284,12.56,0.0,0.15743
YX,26714,3273,7.668,0.0,0.12252
HA,6562,746,10.136,0.0,0.113685
