flight_date,flights,delayed_15min,mean_delay_minutes,median_delay_minutes,delay_rate_15min
2025-01-01,16791,2574,10.545,0.0,0.153296
2025-01-02,19548,3497,12.412,0.0,0.178893
2025-01-03,19256,5251,20.081,0.0,0.272694
2025-01-04,18316,5493,21.396,1.0,0.299902
2025-01-05,18218,6020,27.984,2.0,0.330442
2025-01-06,16866,6253,32.391,3.0,0.370746
2025-01-07,15495,3954,16.773,0.0,0.255179
2025-01-08,16095,2354,9.902,0.0,0.146257
2025-01-09,16030,3576,18.381,0.0,0.223082
2025-01-10,15017,3887,28.316,0.0,0.25884
2025-01-11,14287,3934,24.068,0.0,0.275355
2025-01-12,18277,3990,16.34,0.0,0.218307
2025-01-13,17798,2052,8.783,0.0,0.115294
2025-01-14,15753,1380,6.452,0.0,0.087602
2025-01-15,16031,1192,5.143,0.0,0.074356
2025-01-16,18513,2228,9.204,0.0,0.120348
2025-01-17,18395,2246,8.441,0.0,0.122098
2025-01-18,14681,1774,7.936,0.0,0.120836
2025-01-19,16071,3270,15.385,0.0,0.203472
2025-01-20,18156,5419,21.381,0.0,0.298469
2025-01-21,14405,2819,16.092,0.0,0.195696
2025-01-22,14888,2816,16.552,0.0,0.189146
2025-01-23,17734,3270,14.224,0.0,0.184392
2025-01-24,18041,2574,10.095,0.0,0.142675
2025-01-25,15014,2072,9.172,0.0,0.138005
2025-01-26,18659,2275,8.486,0.0,0.121925
2025-01-27,17992,1716,6.88,0.0,0.095376
2025-01-28,15907,1031,4.461,0.0,0.064814
2025-01-29,16056,1380,6.517,0.0,0.085949
2025-01-30,17367,2395,10.395,0.0,0.137905
2025-01-31,17778,2740,11.282,0.0,0.154123
