scheduled_departure_hour,flights,delayed_15min,mean_delay_minutes,median_delay_minutes,delay_rate_15min
0,564,86,10.918,0.0,0.152482
1,282,51,14.17,0.0,0.180851
2,93,22,10.882,0.0,0.236559
3,55,11,24.382,1.0,0.2
4,25,9,18.24,0.0,0.36
5,13432,1196,12.67,0.0,0.089041
6,35288,2849,9.32,0.0,0.080736
7,36684,3682,10.061,0.0,0.100371
8,37751,4476,9.75,0.0,0.118566
9,31417,4543,10.91,0.0,0.144603
10,32132,5409,12.324,0.0,0.168337
11,34945,6334,13.138,0.0,0.181256
12,32072,6292,14.701,0.0,0.196184
13,31897,6422,14.963,0.0,0.201336
14,31883,6879,15.628,0.0,0.215758
15,30865,6837,15.893,0.0,0.221513
16,30959,6890,16.078,0.0,0.222552
17,33901,7586,16.523,0.0,0.223769
18,32518,7532,16.959,0.0,0.231626
19,26258,6341,17.952,0.0,0.241488
20,22380,5597,17.172,0.0,0.250089
21,14705,3583,18.627,0.0,0.243659
22,9689,2201,18.189,0.0,0.227165
23,3640,604,11.912,0.0,0.165934
