origin,flights,delayed_15min,mean_delay_minutes,median_delay_minutes,delay_rate_15min
ASE,971,349,39.722,0.0,0.359423
XWA,177,59,33.119,0.0,0.333333
HDN,331,106,29.749,0.0,0.320242
LNK,160,48,44.038,0.0,0.3
EGE,724,216,25.305,0.0,0.298343
MBS,173,50,30.723,0.0,0.289017
HSV,622,177,31.479,0.0,0.284566
CPR,183,50,27.235,0.0,0.273224
BIS,364,98,31.786,0.0,0.269231
PBI,2889,777,18.639,0.0,0.268951
SFB,787,209,18.304,0.0,0.265565
EYW,740,196,19.861,0.0,0.264865
ROA,136,36,28.699,0.0,0.264706
TVC,268,70,21.836,0.0,0.261194
COU,134,35,22.903,0.0,0.261194
SJU,3159,816,21.357,0.0,0.25831
STX,145,37,24.241,0.0,0.255172
JAC,587,149,32.809,0.0,0.253833
PGD,706,177,21.837,0.0,0.250708
DRO,312,78,31.731,0.0,0.25
LAN,101,25,45.485,0.0,0.247525
FLL,7716,1906,15.576,0.0,0.247019
BZN,768,189,29.348,0.0,0.246094
FNT,200,49,18.97,0.0,0.245
SGF,633,153,21.844,0.0,0.241706
FWA,478,115,23.036,0.0,0.240586
CRW,204,49,29.422,0.0,0.240196
PIA,363,87,21.466,0.0,0.239669
RAP,309,74,29.887,0.0,0.239482
MTJ,273,65,23.245,0.0,0.238095
CHA,450,107,24.636,0.0,0.237778
IDA,310,73,30.29,0.0,0.235484
DFW,23532,5522,17.975,0.0,0.234659
DEN,24419,5714,15.083,0.0,0.233998
DLH,149,34,26.282,0.0,0.228188
DAY,559,126,29.846,0.0,0.225403
ATL,22633,5078,17.384,0.0,0.224363
IAH,8732,1948,17.904,0.0,0.223087
FAR,602,134,21.932,0.0,0.222591
MIA,9966,2211,15.708,0.0,0.221854
BTR,313,68,18.077,0.0,0.217252
MGM,172,37,17.134,0.0,0.215116
AGS,150,32,22.64,1.0,0.213333
MCO,12847,2733,13.286,0.0,0.212734
SBN,605,128,19.185,0.0,0.21157
ROC,839,177,16.905,0.0,0.210965
MSO,285,60,29.428,0.0,0.210526
GRB,281,59,18.744,0.0,0.209964
DTW,9116,1911,16.489,0.0,0.209631
GUC,129,27,29.178,0.0,0.209302
MDT,298,62,17.94,0.0,0.208054
MFR,337,70,21.68,0.0,0.207715
DCA,10637,2198,16.051,0.0,0.206637
COS,961,198,22.538,0.0,0.206035
SAF,244,50,22.373,0.0,0.204918
ALB,855,175,19.508,0.0,0.204678
PVU,248,50,26.02,0.0,0.201613
LFT,154,31,22.273,0.0,0.201299
BQN,202,40,15.163,0.0,0.19802
TYS,921,182,18.271,0.0,0.197611
AVL,593,117,20.432,0.0,0.197302
BWI,6783,1337,12.221,0.0,0.19711
SHV,330,65,16.079,0.0,0.19697
ORD,21260,4179,14.765,0.0,0.196566
ISP,408,80,13.809,0.0,0.196078
ATW,552,108,21.888,0.0,0.195652
TPA,6324,1236,13.712,0.0,0.195446
HLN,144,28,19.833,0.0,0.194444
ICT,746,145,26.555,0.0,0.19437
VPS,530,103,21.098,0.0,0.19434
MOT,210,40,20.419,0.0,0.190476
BRO,126,24,27.587,0.0,0.190476
AZA,553,105,13.28,0.0,0.189873
BUF,1357,254,14.762,0.0,0.187178
SRQ,1472,275,18.205,0.0,0.186821
DAL,5461,1017,10.619,0.0,0.18623
MDW,5083,946,9.679,0.0,0.186111
IAD,3882,721,15.768,0.0,0.185729
LEX,582,108,18.466,0.0,0.185567
LRD,151,28,32.424,0.0,0.18543
LAS,14839,2747,12.118,0.0,0.18512
LIT,900,166,14.06,0.0,0.184444
SYR,884,163,20.467,0.0,0.184389
XNA,897,164,18.705,0.0,0.182832
CAK,290,53,22.041,0.0,0.182759
DSM,1027,186,17.315,0.0,0.18111
RSW,3487,627,12.512,0.0,0.179811
LBB,484,87,15.893,0.0,0.179752
STT,501,90,23.18,0.0,0.179641
CLT,16117,2859,12.151,0.0,0.17739
CID,690,122,18.907,0.0,0.176812
MEM,1462,258,14.276,0.0,0.176471
MSY,3788,668,13.74,0.0,0.176346
MFE,443,78,25.761,0.0,0.176072
FAT,915,161,18.749,0.0,0.175956
PHL,6503,1144,15.612,0.0,0.175919
STL,4391,770,13.423,0.0,0.175359
HPN,947,165,15.827,0.0,0.174234
JAN,466,81,18.416,0.0,0.17382
CLE,2860,496,14.597,0.0,0.173427
EWR,9935,1715,11.756,0.0,0.172622
CAE,452,78,15.562,0.0,0.172566
FSD,542,93,17.042,0.0,0.171587
BNA,7086,1214,11.755,0.0,0.171324
MSP,8392,1437,13.43,0.0,0.171235
GRK,146,25,9.699,0.0,0.171233
JFK,8181,1399,12.911,0.0,0.171006
SAV,1212,207,18.722,0.0,0.170792
JAX,2144,366,16.007,0.0,0.170709
EVV,147,25,31.755,0.0,0.170068
BHM,1130,192,15.377,0.0,0.169912
SEA,11773,1994,10.623,0.0,0.169371
HOU,3863,654,9.704,0.0,0.169298
MLB,231,39,9.281,0.0,0.168831
LGA,10583,1786,12.259,0.0,0.168761
SAN,7075,1193,13.158,0.0,0.168622
TLH,356,60,16.5,0.0,0.168539
PVD,1075,180,11.179,0.0,0.167442
GRR,1312,217,16.248,0.0,0.165396
PNS,799,132,18.589,0.0,0.165207
SDF,1594,263,20.259,0.0,0.164994
STS,273,45,13.403,0.0,0.164835
OMA,1852,305,13.727,0.0,0.164687
EUG,559,92,12.392,0.0,0.16458
GJT,377,62,18.188,0.0,0.164456
AUS,5995,980,12.198,0.0,0.16347
FCA,252,41,21.278,0.0,0.162698
MCI,3188,516,14.85,0.0,0.161857
SAT,2989,482,11.674,0.0,0.161258
AVP,112,18,48.768,0.0,0.160714
MLI,256,41,22.531,0.0,0.160156
MSN,938,150,16.744,0.0,0.159915
CVG,2297,367,14.597,0.0,0.159774
RDM,451,72,14.539,0.0,0.159645
PIE,649,103,11.265,0.0,0.158706
CHS,1500,238,16.991,0.0,0.158667
SNA,3418,541,14.566,0.0,0.15828
BDL,1735,273,14.199,0.0,0.157349
RIC,1157,182,13.561,0.0,0.157303
MAF,746,117,14.105,0.0,0.156836
ANC,1166,181,10.688,0.0,0.155232
MKE,1884,292,13.171,0.0,0.154989
KTN,168,26,8.262,0.0,0.154762
ORF,1378,213,17.633,0.0,0.154572
BTV,518,80,13.786,0.0,0.15444
PWM,538,82,20.838,0.0,0.152416
BOS,10372,1580,11.369,0.0,0.152333
CMH,3210,488,11.769,0.0,0.152025
SUN,272,41,18.081,0.0,0.150735
SLC,9274,1392,11.05,0.0,0.150097
BIL,361,54,12.274,0.0,0.149584
GSP,1050,157,11.422,0.0,0.149524
RDU,4084,610,13.881,0.0,0.149363
RNO,1661,248,10.925,0.0,0.149308
TUL,1241,185,12.697,0.0,0.149073
PSC,515,76,13.73,0.0,0.147573
ONT,1903,279,11.552,0.0,0.146611
MHT,348,51,14.092,0.0,0.146552
PIT,3004,439,10.983,0.0,0.146138
PHX,15807,2262,9.159,0.0,0.143101
OKC,1667,238,13.053,0.0,0.142771
IND,3346,477,11.266,0.0,0.142558
BUR,2278,322,9.762,0.0,0.141352
SBA,555,78,12.346,0.0,0.140541
SFO,10758,1494,10.579,0.0,0.138873
LAX,14999,2082,10.176,0.0,0.138809
JNU,326,45,11.798,0.0,0.138037
BLI,184,25,9.81,0.0,0.13587
GSO,692,93,14.76,0.0,0.134393
FAI,270,36,10.807,0.0,0.133333
OAK,2843,379,7.189,0.0,0.13331
MYR,684,91,10.94,0.0,0.133041
DAB,219,29,12.164,0.0,0.13242
ELP,1307,173,10.228,0.0,0.132364
ECP,378,50,11.939,0.0,0.132275
FLG,121,16,16.223,0.0,0.132231
ABE,227,30,13.581,0.0,0.132159
SMF,4109,537,9.436,0.0,0.130689
ABQ,1763,229,9.404,0.0,0.129892
CRP,278,36,14.04,0.0,0.129496
BOI,1830,235,8.087,0.0,0.128415
AMA,375,48,14.592,0.0,0.128
HRL,361,46,9.925,0.0,0.127424
PDX,4362,551,9.919,0.0,0.126318
GEG,1234,155,9.321,0.0,0.125608
BFL,239,30,18.377,0.0,0.125523
ILM,418,52,8.744,0.0,0.124402
GNV,177,22,14.322,0.0,0.124294
BGR,154,19,13.455,0.0,0.123377
ABI,146,18,11.055,0.0,0.123288
SBP,421,50,9.734,0.0,0.118765
TUS,1834,217,8.047,0.0,0.118321
RDD,121,14,8.074,0.0,0.115702
PSP,1439,164,9.669,0.0,0.113968
GTF,221,25,11.719,0.0,0.113122
HNL,5070,571,10.108,0.0,0.112623
GPT,240,26,8.904,0.0,0.108333
LGB,1328,143,7.719,0.0,0.107681
SGU,307,33,9.003,0.0,0.107492
MRY,384,41,7.966,0.0,0.106771
SJC,3657,384,7.367,0.0,0.105004
OGG,2191,228,10.696,0.0,0.104062
LIH,1286,133,9.584,0.0,0.103421
ACY,201,20,6.711,0.0,0.099502
KOA,1355,127,8.183,0.0,0.093727
ITO,557,45,6.887,0.0,0.08079
ACV,143,11,13.825,0.0,0.076923
CMI,112,8,7.08,0.0,0.071429
YUM,142,7,6.141,0.0,0.049296
